"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"12","","Christian McCaffrey","CAR","RB8","4","10","15","12.5","2.5","15.0","+3.0"
"15","","DeAndre Hopkins","HOU","WR5","10","14","17","15.5","1.5","10.0","-5.0"
"23","","Lamar Miller","HOU","RB13","10","22","26","24.0","2.0","45.0","+22.0"
"26","","Mark Ingram","NO ","RB14","6","25","32","28.5","3.5","51.0","+25.0"
"32","","James Conner","PIT","RB16","7","26","42","34.0","8.0","160.0","+128.0"
"91","","Quincy Enunwa","NYJ","WR36","11","83","93","88.0","5.0","267.0","+176.0"
"95","","Peyton Barber","TB","RB36","5","91","102","96.5","5.5","97.0","+2.0"
"96","","Kenny Golladay","DET","WR38","6","88","107","97.5","9.5","147.0","+51.0"
"104","","Alex Smith","WAS","QB15","4","105","110","107.5","2.5","131.0","+27.0"
"128","","Austin Seferian-Jenkins","JAC","TE17","9","117","139","128.0","11.0","174.0","+46.0"
"137","","Jacksonville (JAC)","","DST1","9","136","141","138.5","2.5","107.0","-30.0"
"138","","Ricky Seals-Jones","ARI","TE18","9","98","186","142.0","44.0","213.0","+75.0"
"152","","DeSean Jackson","TB","WR55","5","130","178","154.0","24.0","175.0","+23.0"
"209","","Matt Bryant","ATL","K3","8","189","221","205.0","16.0","177.0","-32.0"
""
""
